timestamp,k40_rate,rolling_median,reason
2025-11-15 17:49:54.886501+00:00,-0.005132,nan,K40 rate -0.0051 < absolute minimum 0.05
2025-11-15 18:52:07.699165+00:00,-0.002003,nan,K40 rate -0.0020 < absolute minimum 0.05
2025-11-15 19:54:14.836391+00:00,0.000570,nan,K40 rate 0.0006 < absolute minimum 0.05
2025-11-15 20:56:21.525410+00:00,0.001023,nan,K40 rate 0.0010 < absolute minimum 0.05
2025-11-15 21:58:28.742255+00:00,0.005906,nan,K40 rate 0.0059 < absolute minimum 0.05
2025-11-15 23:00:34.417610+00:00,-0.000702,nan,K40 rate -0.0007 < absolute minimum 0.05
2025-11-16 00:02:40.375312+00:00,-0.006067,nan,K40 rate -0.0061 < absolute minimum 0.05
2025-11-16 01:04:47.699620+00:00,0.000541,nan,K40 rate 0.0005 < absolute minimum 0.05
2025-11-16 02:07:07.683181+00:00,0.012632,nan,K40 rate 0.0126 < absolute minimum 0.05
2025-11-16 03:09:34.503774+00:00,-0.023158,nan,K40 rate -0.0232 < absolute minimum 0.05
2025-11-16 04:11:40.351378+00:00,-0.036067,nan,K40 rate -0.0361 < absolute minimum 0.05
2025-11-16 05:13:53.396659+00:00,0.001623,nan,K40 rate 0.0016 < absolute minimum 0.05
2025-11-16 06:15:58.306450+00:00,-0.001842,nan,K40 rate -0.0018 < absolute minimum 0.05
2025-11-16 07:18:04.550448+00:00,-0.003436,nan,K40 rate -0.0034 < absolute minimum 0.05
2025-11-16 08:20:10.980197+00:00,-0.059839,nan,K40 rate -0.0598 < absolute minimum 0.05
2025-11-16 09:22:15.299379+00:00,0.002295,nan,K40 rate 0.0023 < absolute minimum 0.05
2025-11-16 10:24:46.704292+00:00,-0.005015,nan,K40 rate -0.0050 < absolute minimum 0.05
2025-11-16 11:26:59.777572+00:00,-0.003962,nan,K40 rate -0.0040 < absolute minimum 0.05
2025-11-16 12:29:08.985764+00:00,-0.003991,nan,K40 rate -0.0040 < absolute minimum 0.05
2025-11-16 13:31:14.023847+00:00,0.005512,nan,K40 rate 0.0055 < absolute minimum 0.05
2025-11-16 14:33:20.679216+00:00,0.004386,nan,K40 rate 0.0044 < absolute minimum 0.05
2025-11-16 15:35:28.028926+00:00,0.010439,nan,K40 rate 0.0104 < absolute minimum 0.05
2025-11-16 16:37:34.362575+00:00,0.010848,nan,K40 rate 0.0108 < absolute minimum 0.05
2025-11-16 17:39:39.574294+00:00,0.011681,nan,K40 rate 0.0117 < absolute minimum 0.05
2025-11-16 18:41:50.274016+00:00,0.008231,nan,K40 rate 0.0082 < absolute minimum 0.05
2025-11-16 19:43:54.027553+00:00,0.011608,nan,K40 rate 0.0116 < absolute minimum 0.05
2025-11-16 20:46:00.012545+00:00,0.002646,nan,K40 rate 0.0026 < absolute minimum 0.05
2025-11-16 21:48:07.118717+00:00,-0.000409,nan,K40 rate -0.0004 < absolute minimum 0.05
2025-11-16 22:50:19.604356+00:00,0.010058,nan,K40 rate 0.0101 < absolute minimum 0.05
2025-11-16 23:52:27.475367+00:00,0.000117,nan,K40 rate 0.0001 < absolute minimum 0.05
2025-11-17 00:54:34.853021+00:00,0.004985,nan,K40 rate 0.0050 < absolute minimum 0.05
2025-11-17 01:56:40.375078+00:00,-0.007588,nan,K40 rate -0.0076 < absolute minimum 0.05
2025-11-17 02:58:45.784323+00:00,0.007588,nan,K40 rate 0.0076 < absolute minimum 0.05
2025-11-17 04:00:57.295378+00:00,-0.002558,nan,K40 rate -0.0026 < absolute minimum 0.05
2025-11-17 05:03:03.088407+00:00,-0.001769,nan,K40 rate -0.0018 < absolute minimum 0.05
2025-11-17 06:05:09.977994+00:00,0.002749,nan,K40 rate 0.0027 < absolute minimum 0.05
2025-11-17 07:07:15.545497+00:00,-0.001550,nan,K40 rate -0.0015 < absolute minimum 0.05
2025-11-17 08:09:20.731079+00:00,0.005731,nan,K40 rate 0.0057 < absolute minimum 0.05
2025-11-17 09:11:26.376947+00:00,0.005000,nan,K40 rate 0.0050 < absolute minimum 0.05
2025-11-17 10:13:32.657935+00:00,-0.001769,nan,K40 rate -0.0018 < absolute minimum 0.05
2025-11-17 11:15:37.130741+00:00,-0.003158,nan,K40 rate -0.0032 < absolute minimum 0.05
2025-11-17 12:17:40.782609+00:00,0.006857,nan,K40 rate 0.0069 < absolute minimum 0.05
2025-11-17 13:19:51.423590+00:00,-0.002383,nan,K40 rate -0.0024 < absolute minimum 0.05
2025-11-17 14:21:58.484671+00:00,-0.001477,nan,K40 rate -0.0015 < absolute minimum 0.05
2025-11-17 15:24:05.830779+00:00,0.000015,nan,K40 rate 0.0000 < absolute minimum 0.05
2025-11-17 16:26:10.727788+00:00,-0.000292,nan,K40 rate -0.0003 < absolute minimum 0.05
2025-11-17 17:29:31.336837+00:00,-0.000789,nan,K40 rate -0.0008 < absolute minimum 0.05
2025-11-17 18:32:39.108479+00:00,-0.007412,nan,K40 rate -0.0074 < absolute minimum 0.05
2025-11-17 19:34:45.394613+00:00,-0.000658,nan,K40 rate -0.0007 < absolute minimum 0.05
2025-11-17 20:36:51.558214+00:00,-0.000096,nan,K40 rate -0.0001 < absolute minimum 0.05
2025-11-17 21:39:03.440152+00:00,-0.011316,nan,K40 rate -0.0113 < absolute minimum 0.05
2025-11-17 22:41:09.087948+00:00,0.015541,nan,K40 rate 0.0155 < absolute minimum 0.05
2025-11-17 23:43:13.478231+00:00,-0.035117,nan,K40 rate -0.0351 < absolute minimum 0.05
2025-11-18 00:45:18.901262+00:00,-0.045307,nan,K40 rate -0.0453 < absolute minimum 0.05
2025-11-18 01:47:25.150010+00:00,-0.017480,nan,K40 rate -0.0175 < absolute minimum 0.05
2025-11-29 12:00:21.014486+00:00,-0.017018,nan,K40 rate -0.0170 < absolute minimum 0.05
2025-11-29 13:02:54.743810+00:00,-0.000980,nan,K40 rate -0.0010 < absolute minimum 0.05
2025-11-29 14:04:53.615669+00:00,0.000029,nan,K40 rate 0.0000 < absolute minimum 0.05
2025-11-29 15:06:37.916573+00:00,0.005716,nan,K40 rate 0.0057 < absolute minimum 0.05
2025-11-29 16:08:22.690528+00:00,-0.000512,nan,K40 rate -0.0005 < absolute minimum 0.05
2025-11-29 17:10:07.228507+00:00,0.001681,nan,K40 rate 0.0017 < absolute minimum 0.05
2025-11-29 18:11:51.002724+00:00,-0.008567,nan,K40 rate -0.0086 < absolute minimum 0.05
2025-11-29 19:13:46.580750+00:00,-0.001711,nan,K40 rate -0.0017 < absolute minimum 0.05
2025-11-29 20:15:30.114588+00:00,0.003561,nan,K40 rate 0.0036 < absolute minimum 0.05
2025-11-29 21:17:17.283787+00:00,0.016447,nan,K40 rate 0.0164 < absolute minimum 0.05
2025-11-29 22:19:05.467398+00:00,-0.000614,nan,K40 rate -0.0006 < absolute minimum 0.05
2025-11-29 23:20:54.882210+00:00,-0.002178,nan,K40 rate -0.0022 < absolute minimum 0.05
2025-11-30 00:22:42.848260+00:00,-0.012471,nan,K40 rate -0.0125 < absolute minimum 0.05
2025-11-30 01:24:32.396370+00:00,-0.018684,nan,K40 rate -0.0187 < absolute minimum 0.05
2025-11-30 02:26:23.299673+00:00,-0.013523,nan,K40 rate -0.0135 < absolute minimum 0.05
2025-11-30 03:28:19.558756+00:00,0.001871,nan,K40 rate 0.0019 < absolute minimum 0.05
2025-11-30 04:30:06.450445+00:00,-0.009137,nan,K40 rate -0.0091 < absolute minimum 0.05
2025-11-30 05:31:54.892455+00:00,0.004956,nan,K40 rate 0.0050 < absolute minimum 0.05
2025-11-30 06:33:41.035347+00:00,-0.002383,nan,K40 rate -0.0024 < absolute minimum 0.05
2025-11-30 07:35:26.495385+00:00,0.009298,nan,K40 rate 0.0093 < absolute minimum 0.05
2025-11-30 08:37:12.845349+00:00,0.002208,nan,K40 rate 0.0022 < absolute minimum 0.05
2025-11-30 09:39:00.042737+00:00,-0.005102,nan,K40 rate -0.0051 < absolute minimum 0.05
2025-11-30 10:40:48.084117+00:00,-0.011360,nan,K40 rate -0.0114 < absolute minimum 0.05
2025-11-30 11:42:37.355777+00:00,0.021082,nan,K40 rate 0.0211 < absolute minimum 0.05
2025-11-30 12:44:30.282496+00:00,-0.002354,nan,K40 rate -0.0024 < absolute minimum 0.05
2025-11-30 13:46:15.048484+00:00,-0.001506,nan,K40 rate -0.0015 < absolute minimum 0.05
2025-11-30 14:47:59.380604+00:00,0.004956,nan,K40 rate 0.0050 < absolute minimum 0.05
2025-11-30 15:49:44.007222+00:00,0.010159,nan,K40 rate 0.0102 < absolute minimum 0.05
2025-11-30 16:51:31.342562+00:00,0.008129,nan,K40 rate 0.0081 < absolute minimum 0.05
2025-11-30 17:53:17.145909+00:00,0.007558,nan,K40 rate 0.0076 < absolute minimum 0.05
2025-11-30 18:55:03.558806+00:00,-0.012544,nan,K40 rate -0.0125 < absolute minimum 0.05
2025-11-30 19:56:47.730370+00:00,-0.009211,nan,K40 rate -0.0092 < absolute minimum 0.05
2025-11-30 20:58:36.351552+00:00,-0.004181,nan,K40 rate -0.0042 < absolute minimum 0.05
2025-11-30 22:00:25.582011+00:00,0.001813,nan,K40 rate 0.0018 < absolute minimum 0.05
2025-11-30 23:02:12.840671+00:00,0.007500,nan,K40 rate 0.0075 < absolute minimum 0.05
2025-12-01 00:04:06.739342+00:00,0.007193,nan,K40 rate 0.0072 < absolute minimum 0.05
2025-12-01 01:05:56.855557+00:00,0.004020,nan,K40 rate 0.0040 < absolute minimum 0.05
2025-12-01 02:07:45.371292+00:00,-0.010336,nan,K40 rate -0.0103 < absolute minimum 0.05
2025-12-01 03:09:35.595001+00:00,-0.007982,nan,K40 rate -0.0080 < absolute minimum 0.05
2025-12-01 04:11:24.211920+00:00,0.014547,nan,K40 rate 0.0145 < absolute minimum 0.05
2025-12-01 05:13:14.254192+00:00,-0.019094,nan,K40 rate -0.0191 < absolute minimum 0.05
2025-12-01 06:15:03.871309+00:00,-0.013436,nan,K40 rate -0.0134 < absolute minimum 0.05
2025-12-01 07:16:53.945554+00:00,0.006126,nan,K40 rate 0.0061 < absolute minimum 0.05
2025-12-01 08:18:44.145269+00:00,-0.008728,nan,K40 rate -0.0087 < absolute minimum 0.05
2025-12-01 09:20:32.823512+00:00,0.005322,nan,K40 rate 0.0053 < absolute minimum 0.05
2025-12-01 10:22:22.040927+00:00,0.004518,nan,K40 rate 0.0045 < absolute minimum 0.05
2025-12-01 11:24:12.937961+00:00,-0.006301,nan,K40 rate -0.0063 < absolute minimum 0.05
2025-12-01 12:26:06.915411+00:00,0.004810,nan,K40 rate 0.0048 < absolute minimum 0.05
2025-12-01 13:27:53.984072+00:00,0.001564,nan,K40 rate 0.0016 < absolute minimum 0.05
2025-12-01 14:29:38.690128+00:00,-0.006901,nan,K40 rate -0.0069 < absolute minimum 0.05
2025-12-01 15:31:25.723736+00:00,-0.011433,nan,K40 rate -0.0114 < absolute minimum 0.05
2025-12-01 16:33:10.420305+00:00,0.002617,nan,K40 rate 0.0026 < absolute minimum 0.05
2025-12-01 17:34:54.649494+00:00,0.000322,nan,K40 rate 0.0003 < absolute minimum 0.05
2025-12-01 18:36:39.090539+00:00,0.004635,nan,K40 rate 0.0046 < absolute minimum 0.05
2025-12-01 19:38:24.547141+00:00,-0.004532,nan,K40 rate -0.0045 < absolute minimum 0.05
2025-12-01 20:40:05.683628+00:00,-0.010132,nan,K40 rate -0.0101 < absolute minimum 0.05
2025-12-01 21:41:54.847147+00:00,0.013216,nan,K40 rate 0.0132 < absolute minimum 0.05
2025-12-01 22:43:49.110959+00:00,0.004766,nan,K40 rate 0.0048 < absolute minimum 0.05
2025-12-01 23:45:36.797993+00:00,0.035877,nan,K40 rate 0.0359 < absolute minimum 0.05
2025-12-02 00:47:24.154825+00:00,0.028494,nan,K40 rate 0.0285 < absolute minimum 0.05
2025-12-02 01:49:10.922032+00:00,-0.009137,nan,K40 rate -0.0091 < absolute minimum 0.05
2025-12-02 02:50:57.458618+00:00,-0.001126,nan,K40 rate -0.0011 < absolute minimum 0.05
2025-12-02 03:52:43.290674+00:00,-0.012675,nan,K40 rate -0.0127 < absolute minimum 0.05
2025-12-02 04:54:30.522276+00:00,0.024094,nan,K40 rate 0.0241 < absolute minimum 0.05
2025-12-02 05:56:19.231659+00:00,-0.005132,nan,K40 rate -0.0051 < absolute minimum 0.05
2025-12-02 06:58:05.476026+00:00,-0.008801,nan,K40 rate -0.0088 < absolute minimum 0.05
2025-12-02 07:59:53.864296+00:00,-0.027865,nan,K40 rate -0.0279 < absolute minimum 0.05
2025-12-02 09:01:44.423755+00:00,-0.015380,nan,K40 rate -0.0154 < absolute minimum 0.05
2025-12-02 10:03:34.495555+00:00,-0.000102,nan,K40 rate -0.0001 < absolute minimum 0.05
2025-12-02 11:05:23.217377+00:00,-0.005391,nan,K40 rate -0.0054 < absolute minimum 0.05
2025-12-02 12:07:10.961560+00:00,-0.000497,nan,K40 rate -0.0005 < absolute minimum 0.05
2025-12-02 13:09:01.247716+00:00,-0.003889,nan,K40 rate -0.0039 < absolute minimum 0.05
2025-12-02 14:10:45.568380+00:00,0.000936,nan,K40 rate 0.0009 < absolute minimum 0.05
2025-12-02 15:12:29.781969+00:00,-0.004298,nan,K40 rate -0.0043 < absolute minimum 0.05
2025-12-02 16:14:14.256823+00:00,0.002412,nan,K40 rate 0.0024 < absolute minimum 0.05
2025-12-02 17:15:59.974826+00:00,0.005629,nan,K40 rate 0.0056 < absolute minimum 0.05
2025-12-02 18:17:44.968492+00:00,-0.009576,nan,K40 rate -0.0096 < absolute minimum 0.05
2025-12-02 19:19:29.783134+00:00,0.016623,nan,K40 rate 0.0166 < absolute minimum 0.05
2025-12-02 20:21:22.164910+00:00,0.000936,nan,K40 rate 0.0009 < absolute minimum 0.05
2025-12-02 21:23:14.967737+00:00,0.002749,nan,K40 rate 0.0027 < absolute minimum 0.05
2025-12-02 22:25:04.125120+00:00,0.002354,nan,K40 rate 0.0024 < absolute minimum 0.05
2025-12-02 23:26:47.929590+00:00,-0.006762,nan,K40 rate -0.0068 < absolute minimum 0.05
2025-12-03 00:28:33.061478+00:00,0.002855,nan,K40 rate 0.0029 < absolute minimum 0.05
2025-12-03 01:30:19.407830+00:00,-0.004693,nan,K40 rate -0.0047 < absolute minimum 0.05
2025-12-03 02:32:02.679577+00:00,0.001696,nan,K40 rate 0.0017 < absolute minimum 0.05
2025-12-03 03:33:46.312997+00:00,0.014503,nan,K40 rate 0.0145 < absolute minimum 0.05
2025-12-03 04:35:33.691720+00:00,0.010570,nan,K40 rate 0.0106 < absolute minimum 0.05
2025-12-03 05:37:24.890755+00:00,-0.016754,nan,K40 rate -0.0168 < absolute minimum 0.05
2025-12-03 06:39:14.735570+00:00,-0.001637,nan,K40 rate -0.0016 < absolute minimum 0.05
2025-12-03 07:41:02.097198+00:00,-0.012222,nan,K40 rate -0.0122 < absolute minimum 0.05
2025-12-03 08:42:49.077320+00:00,-0.004956,nan,K40 rate -0.0050 < absolute minimum 0.05
2025-12-03 09:44:35.442942+00:00,-0.003070,nan,K40 rate -0.0031 < absolute minimum 0.05
2025-12-03 10:46:19.158338+00:00,0.012573,nan,K40 rate 0.0126 < absolute minimum 0.05
