Energy(keV),Counts
2.205746773820430207e+01,1.000000000000000000e+01
2.238965702086166942e+01,1.000000000000000000e+01
2.272184630351903678e+01,1.300000000000000000e+01
2.305403558617640414e+01,7.000000000000000000e+00
2.338622486883377150e+01,1.300000000000000000e+01
2.371841415149113885e+01,1.000000000000000000e+01
2.405060343414850621e+01,1.200000000000000000e+01
2.438279271680587712e+01,1.000000000000000000e+01
2.471498199946324448e+01,1.000000000000000000e+01
2.504717128212061183e+01,1.500000000000000000e+01
2.537936056477797919e+01,1.200000000000000000e+01
2.571154984743534655e+01,1.300000000000000000e+01
2.604373913009271391e+01,1.200000000000000000e+01
2.637592841275008126e+01,1.100000000000000000e+01
2.670811769540744862e+01,1.000000000000000000e+01
2.704030697806481598e+01,1.400000000000000000e+01
2.737249626072218334e+01,1.400000000000000000e+01
2.770468554337955425e+01,6.000000000000000000e+00
2.803687482603692160e+01,1.200000000000000000e+01
2.836906410869428896e+01,1.100000000000000000e+01
2.870125339135165632e+01,1.800000000000000000e+01
2.903344267400902368e+01,1.800000000000000000e+01
2.936563195666639103e+01,8.000000000000000000e+00
2.969782123932375839e+01,1.700000000000000000e+01
3.003001052198112575e+01,9.000000000000000000e+00
3.036219980463849311e+01,1.100000000000000000e+01
3.069438908729586046e+01,1.000000000000000000e+01
3.102657836995322782e+01,1.700000000000000000e+01
3.135876765261059873e+01,1.000000000000000000e+01
3.169095693526796609e+01,1.400000000000000000e+01
3.202314621792532989e+01,1.200000000000000000e+01
3.235533550058269725e+01,1.200000000000000000e+01
3.268752478324006461e+01,1.200000000000000000e+01
3.301971406589743196e+01,2.000000000000000000e+01
3.335190334855480643e+01,1.800000000000000000e+01
3.368409263121217379e+01,9.000000000000000000e+00
3.401628191386954114e+01,7.000000000000000000e+00
3.434847119652690850e+01,2.000000000000000000e+01
3.468066047918427586e+01,5.000000000000000000e+00
3.501284976184164321e+01,6.000000000000000000e+00
3.534503904449901057e+01,7.000000000000000000e+00
3.567722832715637793e+01,1.100000000000000000e+01
3.600941760981374529e+01,1.300000000000000000e+01
3.634160689247111264e+01,9.000000000000000000e+00
3.667379617512848000e+01,9.000000000000000000e+00
3.700598545778584736e+01,1.300000000000000000e+01
3.733817474044321472e+01,1.600000000000000000e+01
3.767036402310058207e+01,2.300000000000000000e+01
3.800255330575794943e+01,1.500000000000000000e+01
3.833474258841531679e+01,8.000000000000000000e+00
3.866693187107268415e+01,8.000000000000000000e+00
3.899912115373005150e+01,1.000000000000000000e+01
3.933131043638741886e+01,1.500000000000000000e+01
3.966349971904478622e+01,1.400000000000000000e+01
3.999568900170215358e+01,1.500000000000000000e+01
4.032787828435952804e+01,1.300000000000000000e+01
4.066006756701689540e+01,1.100000000000000000e+01
4.099225684967426275e+01,6.000000000000000000e+00
4.132444613233163011e+01,1.000000000000000000e+01
4.165663541498899747e+01,8.000000000000000000e+00
4.198882469764636483e+01,1.000000000000000000e+01
4.232101398030373218e+01,1.100000000000000000e+01
4.265320326296109954e+01,1.300000000000000000e+01
4.298539254561846690e+01,1.300000000000000000e+01
4.331758182827583425e+01,1.600000000000000000e+01
4.364977111093320161e+01,7.000000000000000000e+00
4.398196039359056897e+01,1.100000000000000000e+01
4.431414967624793633e+01,1.200000000000000000e+01
4.464633895890530368e+01,1.200000000000000000e+01
4.497852824156267104e+01,1.400000000000000000e+01
4.531071752422003840e+01,1.200000000000000000e+01
4.564290680687740576e+01,1.900000000000000000e+01
4.597509608953477311e+01,1.500000000000000000e+01
4.630728537219214047e+01,9.000000000000000000e+00
4.663947465484950783e+01,1.700000000000000000e+01
4.697166393750687519e+01,1.200000000000000000e+01
4.730385322016424965e+01,1.500000000000000000e+01
4.763604250282161701e+01,2.400000000000000000e+01
4.796823178547898436e+01,1.400000000000000000e+01
